,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speeds,Country,Date
0,yellowknife,62.46,-114.35,18.0,96,100,8.41,CA,1604066148
1,nome,64.5,-165.41,10.4,85,90,4.12,US,1604065921
2,port alfred,-33.59,26.89,63.46,53,96,9.62,ZA,1604066148
3,jamestown,42.1,-79.24,37.0,93,90,9.17,US,1604066148
4,hithadhoo,-0.6,73.08,83.08,76,0,11.68,MV,1604065869
5,cerritos,33.86,-118.06,59.0,66,40,1.36,US,1604066148
6,dikson,73.51,80.55,11.25,95,100,27.96,RU,1604066149
7,cape town,-33.93,18.42,64.4,42,0,25.28,ZA,1604065862
8,hobart,-42.88,147.33,46.99,81,75,3.11,AU,1604066126
9,port elizabeth,-33.92,25.57,64.4,45,20,11.41,ZA,1604066149
10,lakes entrance,-37.88,147.98,55.99,92,55,5.01,AU,1604066149
11,tay ninh,11.3,106.1,79.11,85,94,6.02,VN,1604066149
12,coihaique,-45.58,-72.07,50.0,66,0,4.7,CL,1604065857
13,buta,2.79,24.73,73.63,97,100,1.68,CD,1604066149
14,north myrtle beach,33.82,-78.68,68.0,67,1,13.87,US,1604066060
15,mahebourg,-20.41,57.7,72.0,49,3,5.99,MU,1604066149
16,mataura,-46.19,168.86,55.99,96,100,7.0,NZ,1604066149
17,rikitea,-23.12,-134.97,74.84,72,76,6.11,PF,1604066149
18,luderitz,-26.65,15.16,70.41,42,20,34.38,NA,1604065953
19,harper,4.38,-7.72,82.65,75,21,7.54,LR,1604066149
20,debrecen,47.53,21.63,53.6,66,75,12.75,HU,1604065869
21,bhuban,20.88,85.83,76.84,60,71,2.91,IN,1604066149
22,okha,53.57,142.95,33.98,89,90,4.45,RU,1604066041
23,busselton,-33.65,115.33,69.01,42,2,4.94,AU,1604066016
24,ribeira grande,38.52,-28.7,69.8,88,40,23.04,PT,1604066149
25,ancud,-41.87,-73.82,62.01,76,0,14.99,CL,1604066034
26,saint anthony,45.02,-93.22,33.01,80,90,3.36,US,1604066150
27,puerto ayora,-0.74,-90.35,68.0,96,95,7.0,EC,1604065936
28,tobermory,45.25,-81.67,24.01,87,99,3.0,CA,1604066150
29,teguldet,57.31,88.17,26.26,99,100,3.78,RU,1604066150
30,chuy,-33.7,-53.46,61.41,66,63,10.92,UY,1604066150
31,ludvika,60.15,15.19,39.99,100,90,1.32,SE,1604066150
32,bethel,41.37,-73.41,34.0,96,90,9.17,US,1604065969
33,ampanihy,-24.7,44.75,92.25,23,0,13.0,MG,1604066150
34,torbay,47.67,-52.73,35.01,52,68,4.0,CA,1604066150
35,emerald,-23.53,148.17,78.8,54,50,12.75,AU,1604066150
36,kapaa,22.08,-159.32,68.0,82,1,9.17,US,1604066150
37,poum,-20.23,164.02,77.34,79,38,13.58,NC,1604066150
38,cidreira,-30.18,-50.21,64.45,59,99,8.1,BR,1604066150
39,hilo,19.73,-155.09,75.2,88,90,1.34,US,1604065922
40,albany,42.6,-73.97,33.01,89,100,8.41,US,1604066102
41,visby,57.64,18.3,52.0,93,75,8.05,SE,1604065965
42,ushuaia,-54.8,-68.3,50.0,66,40,29.97,AR,1604066151
43,barrow,71.29,-156.79,26.6,79,90,21.92,US,1604065936
44,turtas,58.94,69.13,32.54,97,39,7.38,RU,1604066151
45,flin flon,54.77,-101.86,15.08,97,74,3.04,CA,1604066151
46,klaksvik,62.23,-6.59,48.2,70,98,16.11,FO,1604066151
47,severo-kurilsk,50.68,156.12,44.01,83,99,23.4,RU,1604066151
48,la ronge,55.1,-105.28,17.62,97,100,6.33,CA,1604066055
49,samana,19.21,-69.34,78.8,94,75,4.65,DO,1604066151
