,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speeds,Country,Date
0,tuktoyaktuk,69.45,-133.04,2.16,91,83,7.38,CA,1604145470
1,hasaki,35.73,140.83,46.4,93,20,1.12,JP,1604145470
2,port lavaca,28.61,-96.63,61.0,75,1,4.7,US,1604145340
3,saskylakh,71.92,114.08,-2.92,85,1,5.79,RU,1604145470
4,broken hill,-31.95,141.43,60.8,67,0,7.31,AU,1604145470
5,punta arenas,-53.15,-70.92,46.4,75,0,8.05,CL,1604145200
6,mataura,-46.19,168.86,50.0,81,53,5.01,NZ,1604145470
7,baindur,13.87,74.63,81.86,72,10,2.59,IN,1604145471
8,rikitea,-23.12,-134.97,74.82,71,12,7.61,PF,1604145452
9,ushuaia,-54.8,-68.3,48.2,70,75,3.42,AR,1604145471
10,ajdabiya,30.76,20.23,74.79,49,39,13.53,LY,1604145246
11,ancud,-41.87,-73.82,59.0,71,28,6.93,CL,1604145471
12,fortuna,40.6,-124.16,46.99,100,1,10.29,US,1604145184
13,kenai,60.55,-151.26,14.0,72,1,5.82,US,1604145471
14,pangnirtung,66.15,-65.71,13.41,79,100,4.52,CA,1604145471
15,albany,42.6,-73.97,26.01,87,0,2.64,US,1604145471
16,ust-kuyga,70.02,135.6,-0.69,91,100,4.05,RU,1604145471
17,tuatapere,-46.13,167.68,50.0,81,14,5.01,NZ,1604145471
18,qovlar,40.95,45.73,71.6,56,75,6.93,AZ,1604145471
19,nikolskoye,59.7,30.79,46.4,75,75,4.47,RU,1604145472
20,port hardy,50.7,-127.42,46.4,93,75,2.24,CA,1604145472
21,chuy,-33.7,-53.46,63.54,67,72,1.99,UY,1604145472
22,puerto ayora,-0.74,-90.35,66.99,98,99,5.01,EC,1604145472
23,lorengau,-2.02,147.27,81.45,74,95,4.88,PG,1604145472
24,bethel,41.37,-73.41,28.0,92,1,4.27,US,1604145472
25,saint-francois,46.42,3.91,60.8,72,0,2.24,FR,1604145472
26,turukhansk,65.82,87.98,11.98,90,82,16.17,RU,1604145472
27,atuona,-9.8,-139.03,78.08,77,29,19.86,PF,1604145472
28,lagoa,39.05,-27.98,68.76,91,96,26.66,PT,1604145472
29,bichura,50.59,107.6,27.68,90,97,3.29,RU,1604145472
30,bathsheba,13.22,-59.52,80.6,88,75,13.87,BB,1604145472
31,barranca,-10.75,-77.77,61.66,87,100,6.8,PE,1604145472
32,beringovskiy,63.05,179.32,20.55,87,86,11.03,RU,1604145473
33,vaini,-21.2,-175.2,71.6,94,75,10.29,TO,1604145473
34,tiksi,71.69,128.87,3.18,95,92,1.92,RU,1604145473
35,polonnaruwa,7.93,81.0,83.44,68,99,7.4,LK,1604145473
36,jamestown,42.1,-79.24,30.2,86,90,3.36,US,1604145393
37,cape town,-33.93,18.42,73.4,35,0,21.92,ZA,1604145278
38,arraial do cabo,-22.97,-42.03,68.0,94,90,12.75,BR,1604145473
39,kahului,20.89,-156.47,77.0,65,90,9.17,US,1604145231
40,castro,-24.79,-50.01,57.43,82,99,7.96,BR,1604145397
41,pontal do parana,-25.65,-48.51,55.4,87,90,11.41,BR,1604145473
42,fallon,39.47,-118.78,44.01,19,1,6.93,US,1604145473
43,flinders,-34.58,150.86,61.0,87,71,1.01,AU,1604145473
44,nianzishan,47.52,122.88,39.0,94,52,13.24,CN,1604145473
45,sidi ali,36.1,0.42,73.33,41,2,4.76,DZ,1604145473
46,sinazongwe,-17.26,27.46,92.35,28,0,10.54,ZM,1604145473
47,erenhot,43.65,111.98,36.64,60,46,15.05,CN,1604145473
48,yellowknife,62.46,-114.35,17.6,92,90,14.99,CA,1604145473
49,mocuba,-16.84,36.99,93.16,33,39,7.58,MZ,1604145473
50,longyearbyen,78.22,15.64,17.6,78,75,9.17,SJ,1604145473
51,albertville,34.27,-86.21,41.0,86,1,8.55,US,1604145474
52,norman wells,65.28,-126.83,6.8,84,75,13.87,CA,1604145474
53,kaspiyskiy,45.39,47.37,59.32,72,91,12.12,RU,1604145474
54,bairiki,1.33,172.98,82.4,74,20,11.41,KI,1604145474
55,bluff,-46.6,168.33,50.0,81,76,5.01,NZ,1604145474
56,carlsbad,33.16,-117.35,57.2,100,1,2.8,US,1604145253
57,hermanus,-34.42,19.23,73.99,44,0,10.0,ZA,1604145357
58,fernie,49.5,-115.07,39.2,51,87,3.36,CA,1604145474
59,port alfred,-33.59,26.89,68.32,61,78,13.98,ZA,1604145474
60,nuuk,64.18,-51.72,19.4,67,20,8.05,GL,1604145474
61,khatanga,71.97,102.5,-10.71,86,23,5.99,RU,1604145474
62,pandan,14.05,124.17,82.78,81,100,27.96,PH,1604145474
63,naze,28.37,129.48,71.6,64,75,13.87,JP,1604145475
64,mahebourg,-20.41,57.7,75.2,53,40,14.99,MU,1604145475
65,almenara,-16.18,-40.69,75.13,77,98,3.58,BR,1604145475
66,namibe,-15.2,12.15,82.4,61,20,14.99,AO,1604145475
67,kurovskoye,55.58,38.91,46.4,75,0,4.47,RU,1604145475
68,kirakira,-10.45,161.92,79.66,80,97,3.83,SB,1604145475
69,alofi,-19.06,-169.92,75.2,83,88,13.87,NU,1604145475
70,westport,41.14,-73.36,32.0,89,1,5.82,US,1604145475
71,aketi,2.74,23.78,84.96,69,79,1.9,CD,1604145475
72,lavrentiya,65.58,-171.0,19.4,92,0,9.33,RU,1604145475
73,bredasdorp,-34.53,20.04,68.0,45,0,11.41,ZA,1604145475
74,georgetown,5.41,100.34,86.0,70,20,6.93,MY,1604145241
75,kodiak,57.79,-152.41,33.8,55,1,13.87,US,1604145476
76,adrar,20.5,-10.07,90.82,12,100,12.44,MR,1604145476
77,leningradskiy,69.38,178.42,19.58,93,80,13.24,RU,1604145476
78,sinnamary,5.38,-52.95,84.36,73,83,10.87,GF,1604145476
79,banjar,-8.19,114.97,77.45,73,91,1.01,ID,1604145476
80,busselton,-33.65,115.33,63.0,57,100,9.19,AU,1604145476
81,ambilobe,-13.2,49.05,91.67,30,38,2.19,MG,1604145476
82,staryy nadym,65.61,72.68,32.76,97,100,17.09,RU,1604145476
83,saint anthony,45.02,-93.22,39.2,64,1,18.34,US,1604145406
84,saint-philippe,-21.36,55.77,75.2,50,40,21.92,RE,1604145476
85,vao,-22.67,167.48,73.47,83,37,18.88,NC,1604145476
86,sandwick,60.0,-1.25,50.0,87,75,40.26,GB,1604145476
87,new norfolk,-42.78,147.06,55.0,61,27,1.1,AU,1604145477
88,lebu,-37.62,-73.65,55.49,81,12,7.7,CL,1604145477
89,powell,40.16,-83.08,32.0,92,1,4.36,US,1604145474
90,el prat de llobregat,41.33,2.09,71.01,72,0,16.11,ES,1604145477
91,beroroha,-21.67,45.17,97.02,12,0,7.85,MG,1604145477
92,sao miguel do araguaia,-13.28,-50.16,76.48,84,93,3.49,BR,1604145477
93,tasiilaq,65.61,-37.64,30.0,94,100,4.72,GL,1604145477
94,dikson,73.51,80.55,16.03,96,100,22.5,RU,1604145477
95,itoman,26.12,127.67,75.2,64,40,14.99,JP,1604145477
96,rostovka,55.38,71.89,35.37,85,57,10.27,RU,1604145477
97,victoria,22.29,114.16,75.0,72,20,1.01,HK,1604145463
98,pasni,25.26,63.47,80.01,43,0,11.14,PK,1604145478
99,kapaa,22.08,-159.32,71.6,88,1,8.05,US,1604145478
100,vanimo,-2.67,141.3,79.5,83,27,7.4,PG,1604145478
101,samfya,-11.36,29.56,91.0,19,5,5.26,ZM,1604145478
102,upernavik,72.79,-56.15,16.86,95,37,8.23,GL,1604145478
103,kardymovo,54.89,32.43,49.44,81,100,7.9,RU,1604145478
104,esfahan,32.66,51.68,73.4,11,0,4.7,IR,1604145478
105,geraldton,-28.77,114.6,66.2,72,100,6.93,AU,1604145478
106,kaitangata,-46.28,169.85,51.01,69,65,15.99,NZ,1604145478
107,nome,64.5,-165.41,17.01,85,1,9.33,US,1604145478
108,butaritari,3.07,172.79,81.61,77,44,18.23,KI,1604145478
109,namatanai,-3.67,152.43,80.67,77,74,4.79,PG,1604145478
110,padang,-0.95,100.35,80.31,74,100,3.71,ID,1604145478
111,hilo,19.73,-155.09,75.2,88,90,4.03,US,1604145312
112,east london,-33.02,27.91,68.0,68,40,11.41,ZA,1604145478
113,bengkulu,-3.8,102.27,78.78,83,100,2.51,ID,1604145479
114,hofn,64.25,-15.21,45.45,78,90,7.61,IS,1604145479
115,kapit,2.02,112.93,76.17,91,100,1.39,MY,1604145479
116,iqaluit,63.75,-68.51,19.4,79,90,6.93,CA,1604145479
117,aksarka,66.56,67.8,30.7,94,99,13.04,RU,1604145479
118,calama,-22.47,-68.93,48.2,18,0,17.22,CL,1604145479
119,tautira,-17.73,-149.15,73.4,83,20,3.36,PF,1604145479
120,vysokogornyy,50.12,139.15,31.42,94,100,2.33,RU,1604145479
121,samarai,-10.62,150.67,80.89,84,99,9.75,PG,1604145479
122,emba,48.83,58.14,55.35,35,36,11.23,KZ,1604145479
123,bayan,46.08,127.4,48.0,43,36,14.27,CN,1604145479
124,port angeles,48.12,-123.43,44.6,86,1,3.36,US,1604145479
125,zhigansk,66.77,123.37,-13.25,89,84,0.63,RU,1604145274
126,hit,33.64,42.83,88.2,12,0,12.35,IQ,1604145479
127,wanaka,-44.7,169.15,46.2,74,48,6.24,NZ,1604145479
128,roald,62.58,6.13,48.2,70,0,9.17,NO,1604145480
129,wawa,9.9,4.42,94.03,24,12,4.99,NG,1604145480
130,griffith,41.53,-87.42,32.0,86,1,6.93,US,1604145480
131,avarua,-21.21,-159.78,73.4,83,100,14.99,CK,1604145480
132,beloostrov,60.15,30.0,46.99,83,61,1.01,RU,1604145480
133,cherskiy,68.75,161.3,6.22,88,87,4.0,RU,1604145480
134,mutuipe,-13.23,-39.5,78.53,72,99,4.38,BR,1604145480
135,tabas,33.6,56.92,82.4,13,0,2.24,IR,1604145480
136,brownwood,31.71,-98.99,39.2,93,1,7.38,US,1604145480
137,paso de los toros,-32.82,-56.52,57.2,82,20,6.93,UY,1604145480
138,palmas,-10.21,-48.36,78.8,83,75,5.82,BR,1604145480
139,ostersund,63.18,14.64,43.0,86,26,2.24,SE,1604145481
140,constitucion,-35.33,-72.42,62.28,62,0,2.37,CL,1604145356
141,betare oya,5.6,14.08,85.59,49,14,6.98,CM,1604145481
142,camargo,27.67,-105.17,54.84,42,90,4.79,MX,1604145481
143,sobolevo,54.43,31.9,50.11,82,100,9.06,RU,1604145481
144,mezen,65.85,44.24,35.62,85,68,8.95,RU,1604145481
145,san patricio,28.02,-97.52,60.8,100,1,5.82,US,1604145481
146,high level,58.52,-117.14,24.8,92,90,4.7,CA,1604145481
147,issoire,45.55,3.25,66.2,48,0,6.93,FR,1604145481
148,dori,14.04,-0.03,97.61,9,0,12.37,BF,1604145481
149,barrow,71.29,-156.79,8.6,78,90,6.4,US,1604145482
150,kalmunai,7.42,81.82,82.31,76,100,6.17,LK,1604145482
151,nishihara,26.18,127.76,75.2,53,40,14.99,JP,1604145482
152,basarabeasca,46.33,28.97,51.8,66,40,9.17,MD,1604145482
153,port lincoln,-34.73,135.87,55.98,83,4,9.93,AU,1604145482
154,baykit,61.67,96.37,2.26,89,26,1.01,RU,1604145482
155,isangel,-19.55,169.27,75.29,79,95,15.43,VU,1604145482
156,cockburn town,21.46,-71.14,83.37,78,94,19.75,TC,1604145264
157,pocao de pedras,-4.67,-44.85,87.33,54,42,5.7,BR,1604145482
158,oktyabrskiy,54.48,53.47,40.96,77,100,4.97,RU,1604145482
159,hirara,24.8,125.28,75.2,73,40,11.41,JP,1604145482
160,half moon bay,37.46,-122.43,52.0,87,90,3.36,US,1604145483
161,matara,5.95,80.54,81.64,75,84,10.02,LK,1604145483
162,akyab,20.15,92.9,82.02,74,60,4.09,MM,1604145483
